,UNITID,Cluster
1279,153241,3
1280,153250,3
1281,153269,3
1282,153278,3
1283,153296,6
1284,153302,3
1285,153311,6
1286,153320,3
1287,153339,1
1288,153366,3
1289,153375,3
1290,153384,3
1291,153409,0
1292,153418,4
1293,153427,4
1294,153445,6
1295,153463,1
1296,153472,6
1297,153524,6
1298,153533,6
1299,153542,6
1300,153588,1
1301,153597,1
1302,153603,3
1303,153621,3
1304,153630,6
1305,153658,3
1306,153737,6
1307,153746,1
1308,153764,1
1309,153773,1
1310,153782,1
1311,153825,3
1312,153834,3
1313,153861,3
1314,153922,6
1315,153977,4
1316,154004,3
1317,154013,3
1318,154022,3
1319,154059,6
1320,154095,3
1321,154101,3
1322,154110,6
1323,154129,6
1325,154165,1
1326,154174,3
1327,154208,1
1328,154235,3
1329,154262,4
1330,154332,1
1331,154341,1
1332,154350,3
1333,154378,6
1334,154396,6
1335,154448,1
1336,154457,1
1337,154466,1
1338,154493,3
1339,154518,3
1340,154527,3
1342,154545,1
1343,154572,6
1344,154590,3
1345,154642,6
1346,154688,3
1347,154697,6
1348,154712,3
1349,154721,3
1350,154749,3
1351,154767,4
1352,154776,4
1353,154794,4
1354,154800,6
1356,154855,3
1357,154907,6
1358,154925,6
1359,154934,6
1360,154952,6
1361,154970,1
1362,154998,6
1363,155007,2
1364,155025,3
1365,155052,6
1366,155061,3
1367,155070,3
1368,155089,3
1369,155098,6
1370,155104,6
1371,155140,2
1372,155159,1
1373,155177,6
1374,155186,6
1375,155195,6
1376,155201,6
1377,155210,2
1378,155283,4
1379,155292,6
1380,155317,3
1381,155335,3
1382,155353,1
1383,155399,3
1384,155414,3
1385,155423,6
1386,155441,1
1387,155450,6
1388,155487,6
1389,155496,3
1390,155511,3
1391,155520,3
1392,155566,6
1393,155593,6
1394,155618,6
1395,155627,3
1396,155636,0
1397,155681,3
1398,155715,6
1399,155812,3
1400,155830,6
1401,155858,2
1402,155867,1
1403,155900,3
1404,155937,3
1405,155973,3
1406,156082,3
1407,156107,6
1408,156125,3
1409,156134,4
1410,156189,3
1411,156213,3
1413,156231,6
1414,156277,1
1415,156286,3
1416,156295,3
1417,156310,1
1418,156338,6
1419,156356,3
1420,156365,3
1421,156392,6
1422,156408,3
1423,156417,3
1424,156426,1
1425,156444,1
1426,156471,4
1427,156541,3
1428,156620,3
1429,156648,6
1431,156745,3
1432,156754,1
1433,156790,6
1434,156842,1
1435,156851,6
1436,156860,6
1437,156903,4
1438,156921,6
1439,156949,1
1440,156967,1
1441,157021,4
1442,157030,3
1443,157058,7
1444,157076,3
1445,157085,3
1446,157100,3
1448,157216,3
1449,157270,3
1450,157289,3
1452,157304,6
1453,157331,6
1454,157359,6
1455,157377,3
1456,157386,3
1457,157401,3
1458,157438,6
1459,157447,3
1460,157456,1
1461,157465,4
1462,157483,6
1463,157508,1
1464,157535,3
1465,157553,6
1466,157599,4
1467,157614,1
1468,157632,3
1469,157650,1
1470,157669,1
1471,157678,1
1472,157696,4
1473,157711,6
1474,157739,6
1475,157757,3
1476,157766,4
1477,157793,3
1478,157809,3
1479,157818,3
1480,157827,1
1481,157863,3
1482,157951,3
1483,158088,6
1484,158158,4
1485,158246,4
1486,158325,4
1487,158334,1
1488,158343,4
1489,158352,6
1490,158431,6
1491,158440,4
1492,158477,3
1493,158538,1
1494,158617,1
1495,158644,1
1496,158662,2
1497,158723,4
1498,158778,1
1499,158787,1
1500,158802,7
1501,158884,6
1502,159009,7
1503,159027,1
1504,159197,4
1505,159319,1
1506,159328,1
1507,159373,3
1508,159382,6
1509,159391,3
1510,159407,6
1511,159416,3
1512,159443,6
1513,159513,1
1514,159522,1
1515,159531,1
1516,159568,3
1517,159601,1
1518,159647,3
1519,159656,3
1520,159717,3
1521,159939,3
1522,159966,3
1523,159993,3
1524,160010,6
1526,160038,6
1527,160065,3
1528,160074,4
1529,160117,1
1530,160126,1
1531,160135,1
1532,160199,1
1533,160320,1
1534,160409,6
1535,160445,1
1536,160472,1
1537,160481,6
1538,160524,4
1539,160579,6
1540,160597,1
1541,160612,3
1542,160621,7
1543,160630,7
1544,160649,7
1545,160658,3
1546,160667,6
1547,160755,3
1548,160904,7
1549,160913,6
1550,160940,4
1551,160959,3
1552,160977,3
1553,160995,4
1554,161004,3
1555,161022,4
1556,161077,6
1557,161086,3
1558,161138,6
1559,161165,3
1560,161192,6
1561,161208,6
1562,161217,6
1563,161226,3
1564,161235,6
1565,161244,6
1566,161253,3
1567,161299,3
1568,161341,6
1569,161457,3
1570,161484,6
1571,161493,1
1572,161509,3
1573,161518,3
1574,161527,1
1575,161545,6
1576,161554,3
1577,161563,3
1578,161572,3
1579,161581,6
1580,161615,1
1581,161651,1
1582,161688,6
1583,161767,6
1584,161776,4
1585,161800,1
1586,161855,1
1587,161864,6
1588,161873,3
1589,162007,7
1590,162061,3
1591,162104,6
1592,162122,6
1593,162168,6
1594,162210,3
1595,162283,7
1596,162335,1
1597,162371,4
1598,162557,6
1599,162584,3
1600,162609,6
1601,162654,3
1602,162681,4
1603,162690,6
1604,162706,6
1605,162760,3
1606,162779,2
1607,162830,1
1608,162928,3
1609,162982,1
1610,163028,4
1611,163046,3
1612,163107,1
1613,163204,2
1614,163259,3
1615,163268,3
1616,163286,3
1617,163295,3
1618,163338,7
1619,163347,4
1620,163408,1
1621,163426,2
1622,163453,7
1623,163462,3
1624,163532,3
1625,163541,1
1626,163578,3
1627,163657,2
1628,163736,4
1629,163754,1
1630,163815,1
1631,163851,3
1632,163912,3
1633,163921,4
1634,163976,3
1635,164058,4
1636,164076,3
1638,164100,1
1639,164173,3
1640,164216,3
1641,164270,3
1642,164313,6
1644,164438,0
1645,164447,3
1646,164465,3
1648,164492,3
1649,164535,4
1650,164562,3
1651,164580,3
1652,164599,4
1653,164614,3
1654,164632,3
1655,164641,3
1656,164678,1
1657,164720,3
1658,164739,3
1659,164748,3
1660,164775,6
1661,164845,1
1662,164872,3
1664,164924,3
1665,164933,3
1666,164988,3
1667,165015,3
1668,165024,3
1669,165033,6
1670,165060,4
1671,165112,6
1672,165167,3
1673,165194,6
1674,165255,1
1675,165264,4
1676,165334,3
1678,165529,3
1679,165556,4
1680,165574,3
1681,165608,6
1682,165635,6
1683,165644,3
1684,165662,3
1685,165671,3
1686,165699,3
1688,165750,1
1689,165802,3
1690,165820,3
1691,165866,3
1692,165884,6
1693,165936,3
1695,165981,6
1696,166009,3
1697,166018,3
1698,166027,3
1699,166045,3
1700,166054,3
1701,166063,1
1702,166124,3
1703,166133,6
1704,166276,4
1705,166294,1
1706,166319,1
1707,166328,1
1708,166391,3
1709,166407,4
1710,166452,3
1711,166498,1
1712,166513,3
1713,166586,1
1714,166595,1
1715,166601,3
1716,166629,3
1717,166638,3
1718,166647,6
1719,166656,3
1720,166674,3
1721,166683,3
1722,166692,3
1725,166805,1
1726,166823,6
1727,166850,3
1728,166869,3
1729,166887,6
1730,166911,3
1731,166939,3
1732,166948,3
1733,166957,6
1734,166975,4
1735,166984,3
1736,167020,4
1737,167039,1
1738,167057,3
1742,167224,3
1743,167251,3
1744,167260,3
1745,167288,3
1746,167297,6
1747,167312,6
1748,167321,3
1749,167358,3
1750,167376,2
1751,167394,3
1752,167455,3
1754,167525,6
1755,167534,6
1756,167598,3
1757,167631,6
1758,167677,3
1759,167729,3
1760,167738,4
1761,167783,3
1762,167792,3
1763,167835,3
1764,167871,6
1765,167899,3
1766,167905,6
1767,167987,3
1768,167996,3
1769,168005,3
1770,168032,1
1771,168148,3
1772,168218,3
1773,168227,3
1774,168254,3
1775,168263,3
1776,168281,3
1777,168290,3
1778,168342,3
1779,168421,3
1780,168430,3
1781,168528,3
1782,168546,3
1783,168555,1
1784,168573,4
1785,168591,3
1786,168607,6
1787,168740,3
1788,168786,3
1789,168838,6
1790,168847,3
1791,168883,6
1792,168892,1
1794,169080,3
1796,169187,4
1798,169248,3
1799,169275,6
1800,169284,1
1801,169327,3
1802,169363,3
1804,169442,3
1805,169479,3
1806,169503,1
1807,169521,6
1808,169576,4
1810,169655,6
1811,169716,3
1812,169734,4
1813,169761,4
1814,169798,3
1815,169910,3
1816,169947,1
1817,169974,6
1818,169983,3
1819,169992,6
1820,170000,3
1821,170037,3
1822,170046,4
1823,170055,6
1824,170082,3
1825,170091,3
1826,170240,6
1827,170301,3
1828,170417,0
1829,170444,6
1830,170514,1
1831,170532,3
1832,170541,6
1833,170550,6
1834,170587,6
1835,170611,1
1836,170620,6
1837,170639,3
1838,170657,6
1839,170675,3
1840,170736,1
1841,170790,2
1842,170806,3
1843,170842,3
1844,170967,3
1845,170976,3
1846,171012,1
1847,171100,3
1848,171128,3
1849,171137,3
1850,171146,3
1851,171155,6
1852,171225,6
1853,171234,6
1854,171261,1
1855,171298,3
1856,171304,6
1857,171313,4
1858,171322,4
1859,171395,6
1860,171456,3
1861,171465,1
1862,171483,6
1863,171492,3
1864,171535,6
1865,171571,3
1866,171599,3
1867,171775,1
1868,171881,3
1869,171988,4
1870,171997,4
1871,172015,4
1872,172033,3
1873,172051,3
1874,172200,6
1875,172264,3
1876,172291,6
1877,172307,6
1878,172325,1
1879,172334,3
1880,172422,6
1881,172440,3
1883,172495,1
1884,172608,3
1885,172617,6
1886,172635,2
1887,172644,3
1888,172671,6
1889,172699,3
1891,172802,1
1892,172866,4
1893,172918,6
1894,172927,4
1895,172954,6
1896,172963,6
1897,173045,3
1898,173063,6
1899,173115,6
1900,173124,3
1901,173142,3
1902,173160,3
1904,173203,6
1905,173258,3
1906,173300,3
1907,173328,3
1908,173416,6
1909,173452,3
1910,173461,6
1911,173470,1
1912,173489,4
1913,173559,6
1914,173629,3
1915,173638,6
1916,173647,3
1917,173665,3
1919,173708,6
1920,173726,1
1921,173735,6
1922,173744,1
1923,173799,6
1924,173805,6
1925,173887,3
1927,173902,3
1928,173911,6
1929,173920,3
1930,173939,1
1932,173966,3
1933,173984,4
1934,173993,6
1935,174020,3
1936,174066,3
1937,174075,3
1939,174127,3
1940,174136,6
1941,174154,4
1942,174190,1
1943,174206,3
1944,174233,3
1945,174251,3
1946,174279,3
1947,174321,1
1948,174358,3
1949,174376,6
1950,174385,0
1951,174394,3
1952,174428,6
1953,174437,3
1954,174473,6
1956,174491,3
1957,174507,3
1958,174525,3
1959,174534,1
1960,174570,6
1961,174604,6
1962,174738,6
1963,174747,3
1964,174756,6
1965,174765,1
1966,174783,3
1967,174792,3
1968,174817,3
1969,174844,3
1970,174862,3
1971,174899,3
1972,174914,3
1973,174978,1
1974,175005,3
1975,175014,4
1976,175041,6
